Year,Rainfall_mm,Soil_Moisture,Temperature_C,Crop_Type,Fertilizer_kg_per_ha,Crop_Yield_tons_per_ha
2002,599.2,0.66,28.9,Sorghum,68.2,6.85
2011,501.2,0.68,23.3,Beans,50.4,4.08
2015,346.6,0.46,19.5,Sorghum,47.6,4.12
2018,748.1,0.69,25.6,Maize,52.7,5.68
2004,547.2,0.27,26.1,Maize,52.4,4.06
2021,636.4,0.53,29.1,Beans,63.9,4.89
2024,627.0,0.2,28.6,Pigeon Peas,40.0,4.84
2013,549.8,0.39,26.6,Beans,47.2,3.25
2004,896.3,0.42,27.3,Pigeon Peas,38.8,6.93
2014,592.9,0.44,24.4,Sorghum,39.9,5.85
2016,366.3,0.62,21.3,Beans,53.8,3.52
2013,539.9,0.43,25.4,Maize,58.1,4.24
2019,675.0,0.47,27.9,Sorghum,43.5,5.81
2004,679.9,0.34,27.0,Maize,57.7,4.9
2011,436.8,0.42,27.5,Sorghum,61.1,4.89
2015,739.4,0.34,23.7,Beans,69.3,4.82
2015,335.6,0.24,24.2,Pigeon Peas,50.7,3.66
2020,771.6,0.56,26.5,Sorghum,43.6,7.25
